availability,year,url,zip,shp,altdir,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg,filesize
all,2021,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-21/L03-a-21_code_mesh1-jgd2011_GML.zip,L03-a-21_code_mesh1-jgd2011_GML.zip,L03-a-21_code_mesh1.shp,,,,,,メッシュ,code_mesh3,,L03-a-2021.qml,6668,
all,2016,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-16/L03-a-16_code_mesh1-jgd_GML.zip,L03-a-16_code_mesh1-jgd_GML.zip,L03-a-16_code_mesh1.shp,,,,,,メッシュ,code_mesh3,,L03-a-2016.qml,4612,
all,2014,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-14/L03-a-14_code_mesh1-jgd_GML.zip,L03-a-14_code_mesh1-jgd_GML.zip,L03-a-14_code_mesh1.shp,,,,,,メッシュ,code_mesh3,,L03-a-2016.qml,4612,
all,2009,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-09/L03-a-09_code_mesh1-jgd_GML.zip,L03-a-09_code_mesh1-jgd_GML.zip,L03-a-09_code_mesh1.shp,,,,,,メッシュ,code_mesh3,,L03-a-2016.qml,4612,
all,2006,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-06/L03-a-06_code_mesh1-jgd_GML.zip,L03-a-06_code_mesh1-jgd_GML.zip,L03-a-06_code_mesh1_TertiaryLandUseMesh.shp,,,,,,メッシュ,code_mesh3,,L03-a-2016.qml,4612,
all,1997,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-97/L03-a-97_code_mesh1_GML.zip,L03-a-97_code_mesh1_GML.zip,L03-a-97_code_mesh1_TertiaryLandUseMesh.shp,,,,,,メッシュ,code_mesh3,,L03-a-1997.qml,4301,
all,1991,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-91/L03-a-91_code_mesh1_GML.zip,L03-a-91_code_mesh1_GML.zip,L03-a-91_code_mesh1_TertiaryLandUseMesh.shp,,,,,,メッシュ,code_mesh3,,L03-a-1997.qml,4301,
all,1987,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-87/L03-a-87_code_mesh1_GML.zip,L03-a-87_code_mesh1_GML.zip,L03-a-87_code_mesh1_TertiaryLandUseMesh.shp,,,,,,メッシュ,code_mesh3,,L03-a-1987.qml,4301,
all,1976,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-76/L03-a-76_code_mesh1_GML.zip,L03-a-76_code_mesh1_GML.zip,L03-a-76_code_mesh1_TertiaryLandUseMesh.shp,,,,,,メッシュ,code_mesh3,,L03-a-1976.qml,4301,
