availability,year,url,zip,shp,geojson,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg,filesize
全国,2023,https://nlftp.mlit.go.jp/ksj/gml/data/S12/S12-24/S12-24_GML.zip,S12-24_GML.zip,UTF-8/S12-24_NumberOfPassengers.shp,UTF-8/S12-24_NumberOfPassengers.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S12-2023.html,,,,,,,UTF-8,S12-2022.qml,6668,
全国,2022,https://nlftp.mlit.go.jp/ksj/gml/data/S12/S12-23/S12-23_GML.zip,S12-23_GML.zip,UTF-8/S12-23_NumberOfPassengers.shp,UTF-8/S12-23_NumberOfPassengers.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S12-2022.html,,,,,,,UTF-8,S12-2022.qml,6668,
全国,2021,https://nlftp.mlit.go.jp/ksj/gml/data/S12/S12-22/S12-22_GML.zip,S12-22_GML.zip,UTF-8/S12-22_NumberOfPassengers.shp,UTF-8/S12-22_NumberOfPassengers.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S12-2021.html,,,,,,,CP932,S12-2022.qml,6668,
全国,2020,https://nlftp.mlit.go.jp/ksj/gml/data/S12/S12-21/S12-21_GML.zip,S12-21_GML.zip,UTF-8/S12-21_NumberOfPassengers.shp,UTF-8/S12-21_NumberOfPassengers.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S12-2020.html,,,,,,,CP932,S12-2022.qml,6668,
全国,2019,https://nlftp.mlit.go.jp/ksj/gml/data/S12/S12-20/S12-20_GML.zip,S12-20_GML.zip,S12-20_GML/S12-20_NumberOfPassengers.shp,S12-20_GML/S12-20_NumberOfPassengers.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S12-2019.html,,,,,,,CP932,S12-2022.qml,6668,
全国,2018,https://nlftp.mlit.go.jp/ksj/gml/data/S12/S12-19/S12-19_GML.zip,S12-19_GML.zip,S12-19_NumberOfPassengers.shp,S12-19_NumberOfPassengers.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S12-2019.html,,,,,,,CP932,S12-2022.qml,6668,
全国,2017,https://nlftp.mlit.go.jp/ksj/gml/data/S12/S12-18/S12-18_GML.zip,S12-18_GML.zip,S12-18_NumberOfPassengers.shp,S12-18_NumberOfPassengers.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S12-2019.html,,,,,,,CP932,S12-2022.qml,6668,
全国,2016,https://nlftp.mlit.go.jp/ksj/gml/data/S12/S12-17/S12-17_GML.zip,S12-17_GML.zip,S12-17_GML/S12-17_NumberOfPassengers.shp,S12-17_GML/S12-17_NumberOfPassengers.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S12-2019.html,,,,,,,CP932,S12-2022.qml,6668,
全国,2015,https://nlftp.mlit.go.jp/ksj/gml/data/S12/S12-16/S12-16_GML.zip,S12-16_GML.zip,S12-16_NumberOfPassengers.shp,S12-16_NumberOfPassengers.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S12-2019.html,,,,,,,CP932,S12-2022.qml,6668,
全国,2014,https://nlftp.mlit.go.jp/ksj/gml/data/S12/S12-15/S12-15_GML.zip,S12-15_GML.zip,S12-15_NumberOfPassengers.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S12-2019.html,,,,,,,CP932,S12-2022.qml,6668,
全国,2013,https://nlftp.mlit.go.jp/ksj/gml/data/S12/S12-14/S12-14_GML.zip,S12-14_GML.zip,S12-14_GML/S12-14_NumberOfPassengers.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S12-2019.html,,,,,,,CP932,S12-2022.qml,6668,
全国,2012,https://nlftp.mlit.go.jp/ksj/gml/data/S12/S12-13/S12-13_GML.zip,S12-13_GML.zip,S12-13_GML/S12-13_NumberOfPassengers.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S12-2019.html,,,,,,,CP932,S12-2022.qml,6668,
全国,2011,https://nlftp.mlit.go.jp/ksj/gml/data/S12/S12-12/S12-12_GML.zip,S12-12_GML.zip,S12-12_NumberOfPassengers.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S12-2019.html,,,,,,,CP932,S12-2022.qml,6668,
